B0009A0CSQ,[0.4404],[4],[[sale]],"[[sale, 0.4404, 4]]"
B00T54EOHM,"[-0.7128, 0.1406, 0.0, -0.1027, 0.6249]","[2, 5, 1, 4, 5]","[[ear, piece, receives, ok, person, hear, volume, yell, people, recommend, professional], [luv, luv, blue, tooth, riding, car], [last, month, get, runaround, try, returnrefund], [love, keep, fall, ear], [month, work, charging, dock, stop, work, contact, seller, get, refund]]","[[ear piece receives ok person hear volume yell people recommend professional, -0.7128, 2], [luv luv blue tooth riding car, 0.1406, 5], [last month get runaround try returnrefund, 0.0, 1], [love keep fall ear, -0.1027, 4], [month work charging dock stop work contact seller get refund, 0.6249, 5]]"
B00T9EAUR6,"[0.9246, 0.4927]","[5, 4]","[[case, protection, great, price, range, college, student, budget, recommend], [quality, price]]","[[case protection great price range college student budget recommend, 0.9246, 5], [quality price, 0.4927, 4]]"
B00TBLZ2YS,[-0.1154],[3],"[[wallet, ok, st, choice, magnet, side, stay, close, kickstand, package, claim, receive]]","[[wallet ok st choice magnet side stay close kickstand package claim receive, -0.1154, 3]]"
B00TEZCT1A,[0.981],[5],"[[product, protects, cell, unit, bulky, anticipate, deal, great, job, drop, color, choice, good, catch, eye, leave, dark, table, counter, dont, forget, pick, easy, black, recommend]]","[[product protects cell unit bulky anticipate deal great job drop color choice good catch eye leave dark table counter dont forget pick easy black recommend, 0.981, 5]]"
B00TF0P6CS,[0.8843],[5],"[[fit, quality, leather]]","[[fit quality leather, 0.8843, 5]]"
B00TOT01RA,"[-0.2263, 0.5106]","[1, 4]","[[jawbone, day, attempt, charge, band, stop, work], [work, intend, arrive, charge, instruction, guide, look]]","[[jawbone day attempt charge band stop work, -0.2263, 1], [work intend arrive charge instruction guide look, 0.5106, 4]]"
B00U701ZO8,[0.9052],[5],"[[dont, way, testing, cable, goldplate, contact, make, difference, way, good, cable, price]]","[[dont way testing cable goldplate contact make difference way good cable price, 0.9052, 5]]"
B00U7CPWFY,[0.7906],[3],"[[nice, price, love, zipper, compartment]]","[[nice price love zipper compartment, 0.7906, 3]]"
B00UCANJRO,"[0.8479, 0.6705]","[5, 5]","[[lol, wouldnt, get, phone, contract, phone], [phone, plus, g, card, hold, tune, want]]","[[lol wouldnt get phone contract phone, 0.8479, 5], [phone plus g card hold tune want, 0.6705, 5]]"
B00UCVW7LW,"[0.8687, 0.2023]","[5, 1]","[[break, make, love, st, fell, apart], [purchase, go, gold, galaxy, love, fit, phone, color, perfect, match, phone]]","[[break make love st fell apart, 0.8687, 5], [purchase go gold galaxy love fit phone color perfect match phone, 0.2023, 1]]"
B00UE44H7Y,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00UHMAKN8,"[0.8834, 0.9322]","[5, 4]","[[quality, perfect, fit, come, day], [case, nice, grip, area, cute, great, case, money]]","[[quality perfect fit come day, 0.8834, 5], [case nice grip area cute great case money, 0.9322, 4]]"
B00UMVBNSK,[0.8176],[5],"[[idk, think, come, protector, come, product, apply]]","[[idk think come protector come product apply, 0.8176, 5]]"
B00UYC6044,[0.2263],[2],"[[get, mail, falling, glue]]","[[get mail falling glue, 0.2263, 2]]"
B00V1D8DDQ,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00V2KTN9Q,"[-0.8807, 0.91, 0.6249, 0.0]","[1, 4, 5, 5]","[[product], [love, case, toddler, play, phone, spill, juice, phone, good, shape, throw, scratch, dent], [buy, product, look, otterbox, product, say, otterbox, knock, tell, moment, open, thin, feel, break, rubber, back, say, make, china, otterboxes, make, usa, buy, product, sell, seller, add, flame, fire, take, week, complete, junk, hope, seller, shut, fraud, face, charge, rip, otterbox, design, name, shame, shame], [advertise]]","[[product, -0.8807, 1], [love case toddler play phone spill juice phone good shape throw scratch dent, 0.91, 4], [buy product look otterbox product say otterbox knock tell moment open thin feel break rubber back say make china otterboxes make usa buy product sell seller add flame fire take week complete junk hope seller shut fraud face charge rip otterbox design name shame shame, 0.6249, 5], [advertise, 0.0, 5]]"
B00V9STECM,"[0.1406, 0.9538, 0.9563]","[5, 5, 5]","[[excellent, fit, perfect, come, offgoes, case, thin, doesnt, get, way, use, phone], [love, bumper, phone, gold, clear, perfect, show, offits, wonder, protect, phone, edge, recommend, product], [fit, weight, thin, give, amount, protection, need, product, want, price]]","[[excellent fit perfect come offgoes case thin doesnt get way use phone, 0.1406, 5], [love bumper phone gold clear perfect show offits wonder protect phone edge recommend product, 0.9538, 5], [fit weight thin give amount protection need product want price, 0.9563, 5]]"
B00VA9VWZM,[0.8581],[4],"[[love, case, days, realize, ship, bottom, case, case, wonderful]]","[[love case days realize ship bottom case case wonderful, 0.8581, 4]]"
B00VE0J03S,[0.4404],[5],"[[prettycase, clasp, strongwell, make]]","[[prettycase clasp strongwell make, 0.4404, 5]]"
B00VEO3NBO,"[0.8055, -0.4019]","[5, 1]","[[product, item, work, didnt, device, click, take, picture, cheap, make, set, connect, bluetooth, fine, second, time, try, connect, didnt, recognize, device, return, item, purchase, brand], [shutter, release, make, use, tripod, mount, selfie, stick, seem, front]]","[[product item work didnt device click take picture cheap make set connect bluetooth fine second time try connect didnt recognize device return item purchase brand, 0.8055, 5], [shutter release make use tripod mount selfie stick seem front, -0.4019, 1]]"
B00VEQZK3Q,[0.8742],[5],"[[perfect, c, color, phone, show, get, ton, compliment, come, way, expect]]","[[perfect c color phone show get ton compliment come way expect, 0.8742, 5]]"
B00VH1T0EI,[0.668],[5],"[[read, review, wasnt, fit, happy, say, fit, cut, out, place, leather, g, fit, snug]]","[[read review wasnt fit happy say fit cut out place leather g fit snug, 0.668, 5]]"
B00VHM2KF8,[-0.3818],[3],"[[price, work, good, im, laundry, start, hurt, ear, ill, move, lot, fall, move, head]]","[[price work good im laundry start hurt ear ill move lot fall move head, -0.3818, 3]]"
B00VIUW2H0,[0.8225],[4],"[[product, self, great, acept, come, instruction, set, buttn, miss, hope]]","[[product self great acept come instruction set buttn miss hope, 0.8225, 4]]"
B00VJA6G7Q,[0.6249],[5],[[rock]],"[[rock, 0.6249, 5]]"
B00VM1AU92,[0.3818],[5],"[[suppose, protect, screen]]","[[suppose protect screen, 0.3818, 5]]"
B00VM8S2JA,[0.6124],[5],"[[fit, phone, look]]","[[fit phone look, 0.6124, 5]]"
B00VNECQMM,"[0.5023, 0.34, -0.7645]","[1, 4, 1]","[[wireless, charger, note, complaint, blue, charge, indicator, bright, night, light, room], [brand, wireless, charger, ive, buy, begin, charge, go, cycle, charge, charge, pause, charge, charge, pause, charge, charge, pause, annoy, im, sure, phone, batterybr, br, say, im, charge, samsung, galaxy, edge, case, anywayvery, disappoint], [return, receive, phone, charge, position, replacement, charge, phonegalaxy, side, course, way, need, intend, look, charge, design, form, function]]","[[wireless charger note complaint blue charge indicator bright night light room, 0.5023, 1], [brand wireless charger ive buy begin charge go cycle charge charge pause charge charge pause charge charge pause annoy im sure phone batterybr br say im charge samsung galaxy edge case anywayvery disappoint, 0.34, 4], [return receive phone charge position replacement charge phonegalaxy side course way need intend look charge design form function, -0.7645, 1]]"
B00VPK6BKC,"[-0.7264, 0.0]","[1, 1]","[[doesnt, work], [iphone, get, error, message, month, stop, function]]","[[doesnt work, -0.7264, 1], [iphone get error message month stop function, 0.0, 1]]"
B00VTDNVRG,"[0.6901, -0.0772, -0.3182, -0.4754]","[5, 2, 3, 1]","[[case, work, enjoy, take, underwater, photo, day, arrive], [phone, crack, drop, unhappy], [phone, case, create, echoing, noise, use, week, purchase, replacement, brand, im, familiar], [use, lightening, charger, case, restricts, plug, insert, charging, interface, year, end, ditch, week]]","[[case work enjoy take underwater photo day arrive, 0.6901, 5], [phone crack drop unhappy, -0.0772, 2], [phone case create echoing noise use week purchase replacement brand im familiar, -0.3182, 3], [use lightening charger case restricts plug insert charging interface year end ditch week, -0.4754, 1]]"
B00VU4RB2U,[0.6249],[4],[[battery]],"[[battery, 0.6249, 4]]"
B00VUAIB32,[0.9492],[5],"[[seidio, holster, own, im, happy, clear, case, phone, fit, enjoy, hear, click, sound, make, clip, phone, place, let, know, phone, secure, go, fall]]","[[seidio holster own im happy clear case phone fit enjoy hear click sound make clip phone place let know phone secure go fall, 0.9492, 5]]"
B00W3W6AMU,[0.6597],[4],"[[buy, go, project, car, look, install, hole, power, level]]","[[buy go project car look install hole power level, 0.6597, 4]]"
B00W8RPRH4,[-0.2755],[1],"[[dont, fit]]","[[dont fit, -0.2755, 1]]"
B00W9970WG,[0.9694],[5],"[[package, arrive, estimate, time, perfect, condition, come, wet, dry, wipe, clean, screen, welcome, bonus, put, im, happy, say, longer, look, crack, iphone, screen, protector, drop, save, bit, buy, seller, go, verizon, save, money, hassle, thank]]","[[package arrive estimate time perfect condition come wet dry wipe clean screen welcome bonus put im happy say longer look crack iphone screen protector drop save bit buy seller go verizon save money hassle thank, 0.9694, 5]]"
B00WC43OKK,[-0.5192],[3],"[[delivery, dead, time, case, self, good, quality, work, phone]]","[[delivery dead time case self good quality work phone, -0.5192, 3]]"
B00WCV8M2I,[0.6249],[5],"[[work, great, make, close, way, work, perfect, complaint, microphone, block, use, case, talk, phone, annoying, yell, talking, take, case, call]]","[[work great make close way work perfect complaint microphone block use case talk phone annoying yell talking take case call, 0.6249, 5]]"
B00WE59J7O,[0.0],[2],"[[work, expect, continue, use]]","[[work expect continue use, 0.0, 2]]"
B00WHRIDSK,[0.6249],[5],"[[buy, phone, work, lot]]","[[buy phone work lot, 0.6249, 5]]"
B00WJWHPCI,[0.5719],[5],"[[simple, piece, let, mount, gopro, camera, mount, ive, use, tri, monopod, part, seem, sturdy, awhile, happy, purchase]]","[[simple piece let mount gopro camera mount ive use tri monopod part seem sturdy awhile happy purchase, 0.5719, 5]]"
B00WL4CWHM,[0.6822],[1],"[[rubber, part, case, create, lip, face, phone, flimsy, result, wife, phone, get, indent, front, fall, switch, case, buy, harder, rubber, lip, spigen, brand, amaze, drop, balcony, case, doesnt, cut, get, way]]","[[rubber part case create lip face phone flimsy result wife phone get indent front fall switch case buy harder rubber lip spigen brand amaze drop balcony case doesnt cut get way, 0.6822, 1]]"
B00WLBUZFQ,[0.5719],[5],"[[son, love, case]]","[[son love case, 0.5719, 5]]"
B00WLKJZFI,[0.6022],[5],"[[own, hacoa, case, iphone, earlier, week, lighter, le, love, feel, wood]]","[[own hacoa case iphone earlier week lighter le love feel wood, 0.6022, 5]]"
B00WNWJR0W,[-0.1695],[1],[[worth]],"[[worth, -0.1695, 1]]"
B00WO9GNKQ,[0.8069],[4],"[[case, color, look, nice, phone, fall, saw, isnt, snug, fit, phone, phone, tends, rattle]]","[[case color look nice phone fall saw isnt snug fit phone phone tends rattle, 0.8069, 4]]"
B00X6SSA96,[0.8957],[5],"[[fit, phone, love, bling]]","[[fit phone love bling, 0.8957, 5]]"
B00X6TAZ5C,[0.0],[5],"[[size, plenty, power]]","[[size plenty power, 0.0, 5]]"
B00XAZEJCW,[0.5994],[5],"[[month, okay]]","[[month okay, 0.5994, 5]]"
B00XU8VOIG,"[0.6794, 0.4346, 0.0, 0.0, 0.5719, 0.8481, 0.0, 0.0, 0.8428, -0.6256, 0.6597, 0.6249, -0.1761, 0.0]","[4, 2, 2, 1, 5, 5, 5, 1, 5, 1, 5, 5, 1, 1]","[[job], [work, great, phone], [wouldnt, buy, reviewer, cord, work, go, onoff, charge, cord, doesnt, sync, computer, cord, work, cheap, wont, return, wouldnt, recommend, update, cord, isnt, work, im, work, cord, cost], [product, thank], [say, certify, get, message, get, message, phone, cord, adapter, pick], [seem, work, iphone, seem, build], [problem, glitch, charge, quality], [work, perfect], [purchase, pack, buyer, rating, iphone, device, ipad, mini, use, place, house, car, take, travel, worksort, device, tell, time, accessory, support, happens, device, show, charge, replug, cord, device, time, get, device, cord, charge, great, price, wish, didnt, deal, error, message], [item, excellent, quality], [product, great, price], [work, week, say, cant, read, something, dont, charge, buy], [doesnt, work], [charge]]","[[job, 0.6794, 4], [work great phone, 0.4346, 2], [wouldnt buy reviewer cord work go onoff charge cord doesnt sync computer cord work cheap wont return wouldnt recommend update cord isnt work im work cord cost, 0.0, 2], [product thank, 0.0, 1], [say certify get message get message phone cord adapter pick, 0.5719, 5], [seem work iphone seem build, 0.8481, 5], [problem glitch charge quality, 0.0, 5], [work perfect, 0.0, 1], [purchase pack buyer rating iphone device ipad mini use place house car take travel worksort device tell time accessory support happens device show charge replug cord device time get device cord charge great price wish didnt deal error message, 0.8428, 5], [item excellent quality, -0.6256, 1], [product great price, 0.6597, 5], [work week say cant read something dont charge buy, 0.6249, 5], [doesnt work, -0.1761, 1], [charge, 0.0, 1]]"
B00Y0N4Q8K,"[-0.3597, 0.5106]","[2, 5]","[[receive, excite, try, think, get, lemon, charge, twice, thru, usb, port, computer, seem, hold, charge, charging, time, try, charge, gopro, battery, battery, look, charging, night, gopro, battery, charge, try, gopro, sure, something, send, get, replacement, give, get, replacement], [charger, work, took, camping, couple, weekend, keep, phone, charge]]","[[receive excite try think get lemon charge twice thru usb port computer seem hold charge charging time try charge gopro battery battery look charging night gopro battery charge try gopro sure something send get replacement give get replacement, -0.3597, 2], [charger work took camping couple weekend keep phone charge, 0.5106, 5]]"
B00Y736MZ8,[0.3359],[5],"[[love, love, porthole, match, phone, fit, phone, freak, order, th, arrive, smell, quotsilicone, smellquotsmell, fade, time, worry]]","[[love love porthole match phone fit phone freak order th arrive smell quotsilicone smellquotsmell fade time worry, 0.3359, 5]]"
B00YDF7ZOM,[0.8519],[5],"[[want, car, charger, pay, ship, handling, deal, work]]","[[want car charger pay ship handling deal work, 0.8519, 5]]"
B00YECBYBO,"[-0.2263, 0.4404]","[1, 5]","[[take, phone, take, annoy, im, go, damage, phone, put, fine]]","[[take phone take annoy im go damage phone put fine, -0.2263, 1], [, 0.4404, 5]]"
B00YGEDQRU,[-0.4948],[1],"[[buy, people, phone, take, longer, thing, arrive, plasticy, smell, avoid, manufacturer, specific, product, buy, copy, review, kanji, case, manufacturer, spread, awareness]]","[[buy people phone take longer thing arrive plasticy smell avoid manufacturer specific product buy copy review kanji case manufacturer spread awareness, -0.4948, 1]]"
B00YJJ0G66,"[0.8074, 0.7096, 0.3612]","[5, 4, 5]","[[item, fast, delivery], [take, longer, expect, case, case, give, phone, sturdy, look]]","[[item fast delivery, 0.8074, 5], [take longer expect case case give phone sturdy look, 0.7096, 4], [, 0.3612, 5]]"
B00YYOTP9U,[0.7096],[5],"[[product, protect, phone, fine, job]]","[[product protect phone fine job, 0.7096, 5]]"
B00ZHNTRKY,"[0.4754, -0.2493]","[5, 1]","[[work, day, wouldnt, work, awesome, reason, ive, spend, fortune, lightning, cable, couple, year, dont, tempt, cheap, guess, get, pay, buy, apple, way, know, work, absurd, pay, minimum, cost, cent, make, china, thats, get, addict, iphones], [charging, feel, thicker, apple, came, ipod, touch, metal, connector]]","[[work day wouldnt work awesome reason ive spend fortune lightning cable couple year dont tempt cheap guess get pay buy apple way know work absurd pay minimum cost cent make china thats get addict iphones, 0.4754, 5], [charging feel thicker apple came ipod touch metal connector, -0.2493, 1]]"
B010B7AUXI,[0.8122],[5],"[[cableworks, samsung, iphone]]","[[cableworks samsung iphone, 0.8122, 5]]"
B010I75FC2,[0.9412],[5],"[[case, price, quality, recommend, stanley, cup, champion, blackhawks, fan]]","[[case price quality recommend stanley cup champion blackhawks fan, 0.9412, 5]]"
B010MWIA9S,"[0.9116, 0.7004]","[4, 3]","[[case, look, nice, look, look, feel, cheap, bumper, tight, rubber, body, thin, claim, there, metal, button, cheap, plasticbr, br, ], [feel, look, get, finger, nail, ill, spigen, product, future, sep, update, red, part, case, crack, throw, case, fine, great, order, red, part, get, button]]","[[case look nice look look feel cheap bumper tight rubber body thin claim there metal button cheap plasticbr br , 0.9116, 4], [feel look get finger nail ill spigen product future sep update red part case crack throw case fine great order red part get button, 0.7004, 3]]"
B0116VMZ3G,[0.4019],[3],"[[entry, level, wish, bigger, view, angle]]","[[entry level wish bigger view angle, 0.4019, 3]]"
B01188EGAC,"[0.7264, 0.4019]","[5, 5]","[[please, purchase, item, describe, well, car, charger, cell, phone, company, try, sell, purchase, phone], [super, fast, charger, need, im, impatient, ]]","[[please purchase item describe well car charger cell phone company try sell purchase phone, 0.7264, 5], [super fast charger need im impatient , 0.4019, 5]]"
B011982IFQ,[0.3262],[5],"[[case, drop, phone, twice, damage, done, thanks]]","[[case drop phone twice damage done thanks, 0.3262, 5]]"
B011HEXPIG,[-0.2387],[2],"[[flimsy, cheap, rubber, case, protect, phone, drop, dont, waste, money]]","[[flimsy cheap rubber case protect phone drop dont waste money, -0.2387, 2]]"
B011VGH18K,"[-0.1089, -0.2263, -0.1695]","[1, 2, 2]","[[pro, touch, work, fine, case, withstood, submersion, minsbr, br, con, iphone, loose, case, ie, there, play, back, film, phoneyoure, press, order, touch, glass, front, phone, charge, port, cover, broke, flimsy], [start, product, end, deliver, middle, road, time, frame, give, package, product, come, damage, thing, happen, get, multiple, time, get, resolution, matter, response, email, contact, info, give, contact, time, business, eye, business, owner, case, refund, nothing, let, get, case, dont, believe, hype, notiphone, fit, case, snug, sure, look, thin, advertise, size, nuud, protection, spend, extra, get, take, time, give, review, disappoint, product, lack, customer, service, favor, stay, purchase, im, wait, approval, refund, product, come, damage, advertise, excite, case, turn, experience, customer, service, doesnt, change, ], [screen, cover, make, case, piece, junk, worth, price]]","[[pro touch work fine case withstood submersion minsbr br con iphone loose case ie there play back film phoneyoure press order touch glass front phone charge port cover broke flimsy, -0.1089, 1], [start product end deliver middle road time frame give package product come damage thing happen get multiple time get resolution matter response email contact info give contact time business eye business owner case refund nothing let get case dont believe hype notiphone fit case snug sure look thin advertise size nuud protection spend extra get take time give review disappoint product lack customer service favor stay purchase im wait approval refund product come damage advertise excite case turn experience customer service doesnt change , -0.2263, 2], [screen cover make case piece junk worth price, -0.1695, 2]]"
B012EQHTG0,[0.6705],[4],"[[case, holster, think, loosen, time, wish, turn, face, phone, forward, holster, work, switch, song, take, hip, holster]]","[[case holster think loosen time wish turn face phone forward holster work switch song take hip holster, 0.6705, 4]]"
B012ULQN2A,[0.5719],[5],"[[excellent, product, ship]]","[[excellent product ship, 0.5719, 5]]"
B0130H8CEA,"[0.7003, 0.8588]","[5, 5]","[[perfect, fit], [perfect, caseprotective]]","[[perfect fit, 0.7003, 5], [perfect caseprotective, 0.8588, 5]]"
B0132JZSNO,[0.7351],[5],"[[perfect, phone, belt]]","[[perfect phone belt, 0.7351, 5]]"
B013D32WVA,"[0.9274, 0.9205, 0.9835, 0.7906, 0.9697]","[4, 4, 5, 5, 5]","[[shippingbr, product, job], [wait, case, coz, dont, want, bulky, otterbox, fan, supcase, note, come, order, onebr, br, come, today, week, order, coz, phone, case, time, thing, say, awesomebr, feel, hand, note, protect, love, color, plat, switch, depend, feel, im, rock, gold, gun, metal, look, port, protect, rubber, flap, go, speaker, port, camera, hump, gone, phone, support, wireless, charge, use, samsung, wireless, charger, br, make, sure, wipe, inner, plastic, screen, protector, note, screen, instal, dust, debris, install, coz, annoy, heck, gripe, plastic, screen, protector, oil, slick, instal, phone, otherwise, bang, buck, case, galaxy, note, ], [case, great, look, feel, otter, box, less, bulk, finger, print, feature, work, onone, downfall, forget, make, open, stylus, alot, effort, take, use, stylus, update, mine, defective, look, cut, way, stylus, open, plan, rectify, razor, blade], [want, water, resistant, work, school, rain, season, start, look, feel, put, allow, wireless, charge, nice, get, charger, phone, wish, instruction, phonebecause, watch, instruction, iphone, samsung, note, strangebr, br, editsombody, ask, stylus, access, uploded, picture], [phone, case, great, price, quality, case, solid, sturdy, feel, hand, im, bought, case, otterbox, protection, bulkiness, back, recommend]]","[[shippingbr product job, 0.9274, 4], [wait case coz dont want bulky otterbox fan supcase note come order onebr br come today week order coz phone case time thing say awesomebr feel hand note protect love color plat switch depend feel im rock gold gun metal look port protect rubber flap go speaker port camera hump gone phone support wireless charge use samsung wireless charger br make sure wipe inner plastic screen protector note screen instal dust debris install coz annoy heck gripe plastic screen protector oil slick instal phone otherwise bang buck case galaxy note , 0.9205, 4], [case great look feel otter box less bulk finger print feature work onone downfall forget make open stylus alot effort take use stylus update mine defective look cut way stylus open plan rectify razor blade, 0.9835, 5], [want water resistant work school rain season start look feel put allow wireless charge nice get charger phone wish instruction phonebecause watch instruction iphone samsung note strangebr br editsombody ask stylus access uploded picture, 0.7906, 5], [phone case great price quality case solid sturdy feel hand im bought case otterbox protection bulkiness back recommend, 0.9697, 5]]"
B013PU4OEY,"[0.4927, 0.8553, 0.9402, 0.959]","[5, 5, 5, 5]","[[case, price, range], [case, get, discount, work, look, ], [case, amaze, fit, hand, screen, provide, viewing, screen, sahara, response, time, chart, act, responses, product, great, company], [case, phone, slim, light, come, temper, glass, screen, protector, easy, install, make, leave, phone, sahara, case, instal, protector]]","[[case price range, 0.4927, 5], [case get discount work look , 0.8553, 5], [case amaze fit hand screen provide viewing screen sahara response time chart act responses product great company, 0.9402, 5], [case phone slim light come temper glass screen protector easy install make leave phone sahara case instal protector, 0.959, 5]]"
