B0007L8A7M,[0.8481],[5],"[[quality, great, sound, price]]","[[quality great sound price, 0.8481, 5]]"
B00WWJY9FE,[0.9177],[2],"[[case, buyer, junkie, ive, fair, share, phone, case, excite, color, everythingbr, br, get, week, design, somehow, start, rub, edge, phone, cause, texture, mean, coverage, phone, im, fan, case, silicone, coverage, design]]","[[case buyer junkie ive fair share phone case excite color everythingbr br get week design somehow start rub edge phone cause texture mean coverage phone im fan case silicone coverage design, 0.9177, 2]]"
B00X3I3C7O,"[0.6249, 0.7717]","[5, 5]","[[fit, perfect, car], [work, great]]","[[fit perfect car, 0.6249, 5], [work great, 0.7717, 5]]"
B00X9L7S52,"[0.4588, 0.6597, -0.4939]","[1, 3, 1]","[[destroy, phone, suppose, work, edge, stay, connect, tracker], [waste, time, money, description, say, need, plenty, patience, figure, believe, item, owner, picture, album, look, inside, prison, return, item, better, success, overall, item], [watch, mail, come, mail, work]]","[[destroy phone suppose work edge stay connect tracker, 0.4588, 1], [waste time money description say need plenty patience figure believe item owner picture album look inside prison return item better success overall item, 0.6597, 3], [watch mail come mail work, -0.4939, 1]]"
B00X9TM9NU,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00XBX8S5W,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00XHMUWRO,[0.9387],[5],"[[price, quality, clamp, mount, part, make]]","[[price quality clamp mount part make, 0.9387, 5]]"
B00XLT980U,[0.6808],[3],"[[cover, ok, opening, match, price, get, phone, phone, cover, get, amazon]]","[[cover ok opening match price get phone phone cover get amazon, 0.6808, 3]]"
B00XLTRI1Q,[0.2353],[4],"[[mount, system, superb, seal, option, charger, headphone, work, leave, doubt, seal, thing, dont, screen, glue, cap, lock, stay, water, tight, water, sits, stop, work, guess, expect, wish, tilt, lesser, mark, doesnt, claim]]","[[mount system superb seal option charger headphone work leave doubt seal thing dont screen glue cap lock stay water tight water sits stop work guess expect wish tilt lesser mark doesnt claim, 0.2353, 4]]"
B00XOR8J9K,[0.9339],[3],"[[handsome, case, wood, drawback, impact, usebr, br, case, rigid, frame, phone, slice, carve, wood, glue, feel, go, come, apart, grip, phone, super, youre, try, get, similar, onepiece, snapon, casesbr, br, general, part, case, surround, front, phone, need, lip, set, phone, facefirst, want, case, touch, table, screen, case, lip, use, screen, protector, regular, glass, fit, fine, case, lip, case, thickness, screen, protector, set, phone, facefirst, screen, protector, contact, lip, casebr, br, get, pocket, always, feel, secure, hand, thing, hand, time, corner, case, rigid, frame, padding, therebr, br, use, week, decide, look, lack, pad, case, im, look, something]]","[[handsome case wood drawback impact usebr br case rigid frame phone slice carve wood glue feel go come apart grip phone super youre try get similar onepiece snapon casesbr br general part case surround front phone need lip set phone facefirst want case touch table screen case lip use screen protector regular glass fit fine case lip case thickness screen protector set phone facefirst screen protector contact lip casebr br get pocket always feel secure hand thing hand time corner case rigid frame padding therebr br use week decide look lack pad case im look something, 0.9339, 3]]"
B00Y0S92ES,"[0.8737, 0.5994, 0.9081, 0.431, 0.8225, 0.6124, 0.8689]","[5, 5, 5, 4, 5, 5, 5]","[[come, clean, dust, wipe, application, go, bubble], [go, issue, price, use, clean, wipe, buy, need], [perfect, fiteasy, put, clean, happy], [describe, work, cant, tell, phone, satisfy, recommend], [get, family, member, got, chance, install, weekend, fit, perfect, installation], [nice, slim, clean, kit, come, nice, help], [believe, protector, screen]]","[[come clean dust wipe application go bubble, 0.8737, 5], [go issue price use clean wipe buy need, 0.5994, 5], [perfect fiteasy put clean happy, 0.9081, 5], [describe work cant tell phone satisfy recommend, 0.431, 4], [get family member got chance install weekend fit perfect installation, 0.8225, 5], [nice slim clean kit come nice help, 0.6124, 5], [believe protector screen, 0.8689, 5]]"
B00Y9T8PKA,[-0.4767],[1],"[[worse, case, turn, yellow]]","[[worse case turn yellow, -0.4767, 1]]"
B00YGLPQVC,[0.0],[5],[[awsome]],"[[awsome, 0.0, 5]]"
B00YMDUZMY,"[0.7684, 0.1779]","[3, 1]","[[use, protection, month, privacy, disapearbr, good, product], [say, find, reduces, visibility, screen, great, amount, day, imo, dark]]","[[use protection month privacy disapearbr good product, 0.7684, 3], [say find reduces visibility screen great amount day imo dark, 0.1779, 1]]"
B00YT2ZSAC,"[0.9742, 0.8934]","[5, 5]","[[case, fit, lg, g, bulky, provide, excellent, protection, save, phone, time, drop, fall], [case, lg, g, phone, try, find, clear, one, show, case, happy, fit, phone, great, believe, come, front, provide, protection, drop, face, seems, quality, love, color, heart, detail]]","[[case fit lg g bulky provide excellent protection save phone time drop fall, 0.9742, 5], [case lg g phone try find clear one show case happy fit phone great believe come front provide protection drop face seems quality love color heart detail, 0.8934, 5]]"
B00YZ3XZRI,[0.6369],[5],"[[case, ship, took]]","[[case ship took, 0.6369, 5]]"
B00Z09J32W,[-0.6708],[1],"[[didnt, watch, band, didnt, slide, watch, disappoint]]","[[didnt watch band didnt slide watch disappoint, -0.6708, 1]]"
B00ZBCKOZI,[0.0],[1],"[[come, color, trim, strap, goldtone, accent, return, refund, picture]]","[[come color trim strap goldtone accent return refund picture, 0.0, 1]]"
B00ZDU0Z2A,[0.6115],[5],"[[order, case, wife, case, arrive, wife, happy, purchase]]","[[order case wife case arrive wife happy purchase, 0.6115, 5]]"
B00ZGSC4PU,[0.4404],[1],"[[fall, apart, week, design, great, wont, buy, case, fall, apart]]","[[fall apart week design great wont buy case fall apart, 0.4404, 1]]"
B00ZH6FBRY,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00ZJV4JW0,"[0.8516, 0.6369]","[5, 4]","[[nice, case, snap, perfect, purchase]]","[[nice case snap perfect purchase, 0.8516, 5], [, 0.6369, 4]]"
B00ZXZSFAY,"[-0.8537, 0.8316]","[1, 5]","[[case, box, u, take, u, screen, protect, sell, amazon], [buy, product, get, yesterday, belt, clip, broke, less, hour, get, case, allow, use, finger, print, reader, put, code, time, pain, case, cheap, screen, cover, protect, screen, cheap, get, pay, read, review, buy]]","[[case box u take u screen protect sell amazon, -0.8537, 1], [buy product get yesterday belt clip broke less hour get case allow use finger print reader put code time pain case cheap screen cover protect screen cheap get pay read review buy, 0.8316, 5]]"
B00ZYFAK0G,"[0.5719, -0.3089]","[4, 2]","[[excellent, product, service], [lgg, g, lteand, g, band, support, tmobile]]","[[excellent product service, 0.5719, 4], [lgg g lteand g band support tmobile, -0.3089, 2]]"
B010CFMVYK,"[-0.4045, 0.7935, 0.5719, 0.3612, 0.7264, 0.9462, 0.9442]","[5, 3, 5, 4, 4, 5, 5]","[[fit, perfect], [deliver, day, say, look, picture], [order, case, day, ship, love, case, color, vibrant, case, bulky, case, amaze, cheap, price, consider, buying, pink], [thing, disappoint, wasnt, bright, think, picture], [buy, case, looking, find, excite, find, c, color, great, day, start, become, dirty, hold, im, disappoint, become, dirty, fast, phone, day, take, care, thing, ugg, boot, people, think, brand, year, phone, look, brand, crack, anything, friend, disappoint, become, dirty, fast], [receive, case, fit, iphone, c, love, color, case, turquoise, gold, case, expect, slide, screen, make, feel, drop, phone, screen, protector, purchase, product], [fit, good, look, protect, phone, worry, fall, way, click, phone]]","[[fit perfect, -0.4045, 5], [deliver day say look picture, 0.7935, 3], [order case day ship love case color vibrant case bulky case amaze cheap price consider buying pink, 0.5719, 5], [thing disappoint wasnt bright think picture, 0.3612, 4], [buy case looking find excite find c color great day start become dirty hold im disappoint become dirty fast phone day take care thing ugg boot people think brand year phone look brand crack anything friend disappoint become dirty fast, 0.7264, 4], [receive case fit iphone c love color case turquoise gold case expect slide screen make feel drop phone screen protector purchase product, 0.9462, 5], [fit good look protect phone worry fall way click phone, 0.9442, 5]]"
B010GYYSU2,"[0.6232, 0.8734, 0.048, 0.91, 0.6249, -0.6198, 0.6414]","[4, 5, 1, 5, 1, 3, 1]","[[camera, great, suction, cup, camera, holder, design, fell, apart, week, use, purchase, zeroedge, camera, result, holder], [lot, feature, clear, image, install, great, price, order, vehiclesbr, br, read, instruction, remember, format, sd, card, use], [camera, holder, attache, windshield, construct, broke, week, use, customer, service, take, care, problem, replace, holder, good, overall, experience], [point, make, product, setting, explain, teeny, tiny, instruction, tee, userbr, br, im, average, computer, tech, gadget, savvy, figure, thing, tech, item, way, im, send, frustrate, go, ok, camera, everyday, drive, need, manufacturer, product, hope, read, larger, palm, hand, people, read, magnifying, glass, explain, setting, decrease, returnsbr, br, time, look, review, instruction, priority, buy], [quality, seem, problem, try, turn, processing, menu, own, model, appox, month, dont, know, summer, heat, car, get, affect, maybe, price, last, deal], [return, garmin, dashcam, change, zero, edge, happy, itsome, problem, mount, keep, collapse, suggest, mount, rearview, mirror, check, item, isaddle, ch, amazon, check, fit, vehicle, rearview, mirror, perfect, honda, pilotbr, ill, recommend], [camera, good, price, star, work, want, reason, give, star, mount, attach, windshield, week, remove, got, car, work, today, mount, fallen, apart, black, suction, cup, mount, week, buying]]","[[camera great suction cup camera holder design fell apart week use purchase zeroedge camera result holder, 0.6232, 4], [lot feature clear image install great price order vehiclesbr br read instruction remember format sd card use, 0.8734, 5], [camera holder attache windshield construct broke week use customer service take care problem replace holder good overall experience, 0.048, 1], [point make product setting explain teeny tiny instruction tee userbr br im average computer tech gadget savvy figure thing tech item way im send frustrate go ok camera everyday drive need manufacturer product hope read larger palm hand people read magnifying glass explain setting decrease returnsbr br time look review instruction priority buy, 0.91, 5], [quality seem problem try turn processing menu own model appox month dont know summer heat car get affect maybe price last deal, 0.6249, 1], [return garmin dashcam change zero edge happy itsome problem mount keep collapse suggest mount rearview mirror check item isaddle ch amazon check fit vehicle rearview mirror perfect honda pilotbr ill recommend, -0.6198, 3], [camera good price star work want reason give star mount attach windshield week remove got car work today mount fallen apart black suction cup mount week buying, 0.6414, 1]]"
B010L4UF1S,[0.8932],[5],"[[case, use, feel, using, speaker, place]]","[[case use feel using speaker place, 0.8932, 5]]"
B010WI8I80,[0.7841],[5],"[[mount, smartphone, car, felt, qualitybr, tighten, luggage, satisfy, use]]","[[mount smartphone car felt qualitybr tighten luggage satisfy use, 0.7841, 5]]"
B010XGZAAK,[0.5984],[5],"[[husband, own, roof, company, phone, normal, get, damage, get, got, phone, birthday, job]]","[[husband own roof company phone normal get damage get got phone birthday job, 0.5984, 5]]"
B01136P7ES,[0.5574],[5],[[fit]],"[[fit, 0.5574, 5]]"
B011J5KIII,"[0.9056, 0.9698]","[5, 2]","[[product, receive, product, description, description, state, lock, swivel, belt, clip, lock, extend, position, provide, viewing, angle, watch, movie, call, degree, case, ship, shell, show, honeycomb, grip, interior, product, photo, receive, silicone, shell, snug, phone, loose, look, right, model, phone, htc, desire, state, product, description, make, fit, button, cutout, camera, earbuds, charge, correct, outer, shell, front, coverholster, fit, nice, snug, outer, shell, photos, show, front, belt, clip, holster, interior, cover, felt, material, help, phone, screen, product, receive, interior, item, receive, ok, loose, inner, silicone, case, look, phone, appear, wrinkle, edge, case, apply, concern, slip, provide, protection, desire, phone, inside, belt, clip, front, coverholster, feel, slip, phone, hand, belt, holster, concern, look, give, phone, wavywrinkled, look, side, silicone, proper, fit, return, product, look, something], [nice, item, practice, save, phone, time, price, thank, amazon, delivery, faster, address]]","[[product receive product description description state lock swivel belt clip lock extend position provide viewing angle watch movie call degree case ship shell show honeycomb grip interior product photo receive silicone shell snug phone loose look right model phone htc desire state product description make fit button cutout camera earbuds charge correct outer shell front coverholster fit nice snug outer shell photos show front belt clip holster interior cover felt material help phone screen product receive interior item receive ok loose inner silicone case look phone appear wrinkle edge case apply concern slip provide protection desire phone inside belt clip front coverholster feel slip phone hand belt holster concern look give phone wavywrinkled look side silicone proper fit return product look something, 0.9056, 5], [nice item practice save phone time price thank amazon delivery faster address, 0.9698, 2]]"
B011JH0F2K,[0.6369],[5],[[fit]],"[[fit, 0.6369, 5]]"
B012YS0438,[-0.5432],[1],"[[qualitydifferent, photo]]","[[qualitydifferent photo, -0.5432, 1]]"
B013HLE95A,[0.8891],[5],"[[love, case, case, addict, love, thickness, hold]]","[[love case case addict love thickness hold, 0.8891, 5]]"
