B0002BEX8W,"[0.0, 0.5719]","[1, 5]","[[perfect, alpine, ilx, install, chevy, avalanche], [ueless, mei, buick, lesaber]]","[[perfect alpine ilx install chevy avalanche, 0.0, 1], [ueless mei buick lesaber, 0.5719, 5]]"
B00ZOR2GTC,"[0.9486, 0.8977, 0.7906, 0.9918, 0.9657, 0.9601, 0.8632, -0.2755]","[5, 4, 5, 5, 3, 5, 4, 1]","[[nice, watch, band, fit, excellent, make, watch, look, great], [impress, quality, band, endsbr, br, comment, look, feel, say, color, band, space, gray, space, copperbrown, look, fact, upgrade, classiness, watch, compare, sport, band, come, prefer, perfect, match, let, flaw, pas, say, weight, feel, band, make, seem, quality, productbr, br, problem, band, occur, try, remove, link, make, use, tool, provide, bar, come, screwdriver, tip, broke, leave, choice, make, trip, jeweler, order, remove, link, cost, coursebr, br, overall, satisfy, watch, band, upgrade, band], [handsome, replacement, plastic, watch, band, make, sport, watch, look, version], [im, go, party, band, price, count, review, people, search, help, anyone, sense, band, arrive, time, amazon, item, band, bag, screwdriver, blue, pin, removal, tool, take, linksbr, br, band, look, feel, exceeds, expectation, price, point, mm, space, gray, apple, watch, sport, band, make, cheap, apple, watch, look, scale, actuality, cheaper, official, apple, watch, sport, bandbr, br, put, judge, link, remove, adapter, click, place, expect, shook, bit, softness, bed, make, wasnt, go, decide, need, take, link, start, pin, pop, use, build, tool, didnt, budge, tool, broke, kind, end, get, pin, push, pin, part, name, tag, struggle, get, reassemble, im, please, need, link, take, tool, break, im, go, see, jeweler, order, separate, toolbr, br, everyone, concern, band, tool, rating, reflect, happy, band, way, happier, send, tool, take, link, need], [recommend], [pick, day, mm, apple, watch, quality, awesome, heavy, solid, quality, match, color, space, grey, watch], [excellent, watch, band, match, space, gray, watch, go, fit, tool, youre, gentle, fine, make, line, band, feel, weight, wrist, band, great, price], [add, weight, want, link, tool, use, save, time, money, go, jeweler, recommend, break, apple, band]]","[[nice watch band fit excellent make watch look great, 0.9486, 5], [impress quality band endsbr br comment look feel say color band space gray space copperbrown look fact upgrade classiness watch compare sport band come prefer perfect match let flaw pas say weight feel band make seem quality productbr br problem band occur try remove link make use tool provide bar come screwdriver tip broke leave choice make trip jeweler order remove link cost coursebr br overall satisfy watch band upgrade band, 0.8977, 4], [handsome replacement plastic watch band make sport watch look version, 0.7906, 5], [im go party band price count review people search help anyone sense band arrive time amazon item band bag screwdriver blue pin removal tool take linksbr br band look feel exceeds expectation price point mm space gray apple watch sport band make cheap apple watch look scale actuality cheaper official apple watch sport bandbr br put judge link remove adapter click place expect shook bit softness bed make wasnt go decide need take link start pin pop use build tool didnt budge tool broke kind end get pin push pin part name tag struggle get reassemble im please need link take tool break im go see jeweler order separate toolbr br everyone concern band tool rating reflect happy band way happier send tool take link need, 0.9918, 5], [recommend, 0.9657, 3], [pick day mm apple watch quality awesome heavy solid quality match color space grey watch, 0.9601, 5], [excellent watch band match space gray watch go fit tool youre gentle fine make line band feel weight wrist band great price, 0.8632, 4], [add weight want link tool use save time money go jeweler recommend break apple band, -0.2755, 1]]"
B00ZSLW90U,[0.0],[2],[[rub]],"[[rub, 0.0, 2]]"
B00ZZ6323G,[0.9872],[5],"[[screen, protector, tablet, great, job, drop, tablet, screen, protector, save, device, screen, damage, look, screen, protector, purchase, longer, amazon, decide, product, chance, screen, protector, arrive, condition, open, include, alcohol, wipe, dry, wipe, sticker, remove, particle, screen, apply, screen, protector, quality, good, well, look, cut, out, need, stylus, work, suppose, purchase, confident, protect, screen, event, drop, tablet]]","[[screen protector tablet great job drop tablet screen protector save device screen damage look screen protector purchase longer amazon decide product chance screen protector arrive condition open include alcohol wipe dry wipe sticker remove particle screen apply screen protector quality good well look cut out need stylus work suppose purchase confident protect screen event drop tablet, 0.9872, 5]]"
B010FBYLBC,[0.9203],[5],"[[case, protects, phone, great, know, phone, drop, phone, river, yesterday, fish, case, keep, phone, dry, phone, didnt, get, damage, id, recommend, case, phone]]","[[case protects phone great know phone drop phone river yesterday fish case keep phone dry phone didnt get damage id recommend case phone, 0.9203, 5]]"
B010LXUDXE,[0.7351],[5],"[[fit, perfect]]","[[fit perfect, 0.7351, 5]]"
B010MWHF80,"[0.9883, 0.9325]","[5, 4]","[[case, issue, wish, volume, power, button, apparent, deal, phone, feel, better, hand], [fit, love, color, im, hop, guy, come, feminine, color, love, side, button, flush, case, dont, pop, work, perfect, feel, protect, galaxy, edge, love, kick, stand, thanks]]","[[case issue wish volume power button apparent deal phone feel better hand, 0.9883, 5], [fit love color im hop guy come feminine color love side button flush case dont pop work perfect feel protect galaxy edge love kick stand thanks, 0.9325, 4]]"
B010N9ZR6O,"[0.765, 0.8957]","[5, 5]","[[nice, color, daughter, love, put, phone, feel, safer, phone, soft, rubber, inner, case, give, phone, extra, protection], [quick, delivery, fit, perfect, put, take, access, everything]]","[[nice color daughter love put phone feel safer phone soft rubber inner case give phone extra protection, 0.765, 5], [quick delivery fit perfect put take access everything, 0.8957, 5]]"
B010XFD774,[0.765],[5],"[[fit, great, quality, sturdy, protection]]","[[fit great quality sturdy protection, 0.765, 5]]"
B0113W600M,"[0.9468, 0.7654]","[5, 5]","[[pair, iphone, work, want, set, phone, tripod, take, group, photo, worry, race, get, picture, timer, go, picture], [think, doesnt, work, instruction, come, seem, thing, make, work, didnt, come, trusty, google, answer, yes, go, setting, apple, product, go, bluetooth, search, item, speaker, air, print, printer, thing, iphones, etc, come, work, phone, ipod, ipod, need, app, eats, memory, thank]]","[[pair iphone work want set phone tripod take group photo worry race get picture timer go picture, 0.9468, 5], [think doesnt work instruction come seem thing make work didnt come trusty google answer yes go setting apple product go bluetooth search item speaker air print printer thing iphones etc come work phone ipod ipod need app eats memory thank, 0.7654, 5]]"
B011GOU9Q8,[0.6652],[1],"[[week, print, fade, card, holder, slot, rip, apart, held, phone, nice, case, certify, po, im, case, go]]","[[week print fade card holder slot rip apart held phone nice case certify po im case go, 0.6652, 1]]"
B011PZR87Q,"[0.9447, 0.5549]","[4, 5]","[[quality, screen, tolerance, hole, bite, get, block, home, button, camera, open, bit, trickier, others, kind, otherwise, nice, clear, screen], [fit, apply, whats]]","[[quality screen tolerance hole bite get block home button camera open bit trickier others kind otherwise nice clear screen, 0.9447, 4], [fit apply whats, 0.5549, 5]]"
B011W85Q66,[0.9548],[4],"[[headset, sound, good, phone, work, use, time, love, wire, work, price, product, great, deal]]","[[headset sound good phone work use time love wire work price product great deal, 0.9548, 4]]"
B012DXCESC,[0.2263],[1],"[[okay, protective]]","[[okay protective, 0.2263, 1]]"
B012F2IN1S,"[0.9862, 0.984]","[5, 5]","[[look, classy, iphone, c, seem, sturdy, case, light, feature, awesome, front, light, lovee, phone, case, come, mail, gotta, love, amazon, friends, amaze, light, part, sleek, phone, good, button, press, phone, case], [dont, use, feature, us, phone, light, surprise, see, phone, glow, dark, great, buy, havent, drop, surprise, break, knock, wood, dollar, casebr, br, cute, sleek, case, cover, phone, case, bump, cornersbr, br, recommend]]","[[look classy iphone c seem sturdy case light feature awesome front light lovee phone case come mail gotta love amazon friends amaze light part sleek phone good button press phone case, 0.9862, 5], [dont use feature us phone light surprise see phone glow dark great buy havent drop surprise break knock wood dollar casebr br cute sleek case cover phone case bump cornersbr br recommend, 0.984, 5]]"
B012F7287I,[0.8316],[5],"[[perfect, wallet, case, great, material]]","[[perfect wallet case great material, 0.8316, 5]]"
B012U5IPU4,"[0.2732, 0.0]","[3, 5]","[[case, put, button, operate, tactile, identification, cutout, line, mike, phone, way, center, sorry, ill, let, someone, droptesting], [case, money, flaw, lay, phone, face, surface, understand, moto, g, curve, lay, phone, try, use, wobble, spinsbr, br, ill, look, case, think, everything]]","[[case put button operate tactile identification cutout line mike phone way center sorry ill let someone droptesting, 0.2732, 3], [case money flaw lay phone face surface understand moto g curve lay phone try use wobble spinsbr br ill look case think everything, 0.0, 5]]"
B0136MDM1W,[0.0],[1],"[[adapt, fitbit, charge, hr]]","[[adapt fitbit charge hr, 0.0, 1]]"
B013U6J9T8,[0.8777],[5],"[[case, sturdy, assume, fit, phone, case, cover, front, phone, protection, impress]]","[[case sturdy assume fit phone case cover front phone protection impress, 0.8777, 5]]"
