B0000AXP2J,[0.765],[5],"[[excellent, thanks]]","[[excellent thanks, 0.765, 5]]"
B00ZR705KQ,"[0.7964, 0.9562, 0.9441]","[3, 5, 5]","[[band, well, thoughtbr, apple, sport, watch, space, gray, ideal, bandbr, br, prosbr, cheap, doesnt, feel, color, perfect, youre, star, watch, band, meet, youll, tellbr, clasp, wiggle, shake, lock, linksbr, come, adjustment, tool, glass, screen, cover, includedbr, remove, band, tool, includedbr, deliver, day, earlybr, br, consbr, remove, apple, band, hey, br, thats, itbr, br, band, worth, pennyill, attach, picture, see, color], [apple, watch, band, outstanding, look, apple, band, compare, le, link, band, ive, try, use, latch, bottom, product, name, couldnt, wait, get, rid, cheap, look, apple, sport, band, happy, purchase, fast, prime, delivery], [bracelet, compare, apple, charge, found, taper, watch, use, loop, connector, bracelet, come, retail, box, include, tool, diy, link, removal, tool, broke, use, thats, okay, tool, come, screen, protector, arrive, crack, poor, packaging, bracelet, good, quality, fit, sport, band, aware, bracelet, doesnt, match, color, sport, case, see, picture]]","[[band well thoughtbr apple sport watch space gray ideal bandbr br prosbr cheap doesnt feel color perfect youre star watch band meet youll tellbr clasp wiggle shake lock linksbr come adjustment tool glass screen cover includedbr remove band tool includedbr deliver day earlybr br consbr remove apple band hey br thats itbr br band worth pennyill attach picture see color, 0.7964, 3], [apple watch band outstanding look apple band compare le link band ive try use latch bottom product name couldnt wait get rid cheap look apple sport band happy purchase fast prime delivery, 0.9562, 5], [bracelet compare apple charge found taper watch use loop connector bracelet come retail box include tool diy link removal tool broke use thats okay tool come screen protector arrive crack poor packaging bracelet good quality fit sport band aware bracelet doesnt match color sport case see picture, 0.9441, 5]]"
B010NN44FU,"[0.6249, 0.0387]","[5, 3]","[[product, receive, time, come, everything, need, change, coverplate, spare, part], [end, use, samsung, replace, phone, issue, clip, phone, go, keep, use, look, fit, problem, package, everything, say]]","[[product receive time come everything need change coverplate spare part, 0.6249, 5], [end use samsung replace phone issue clip phone go keep use look fit problem package everything say, 0.0387, 3]]"
B010Q28KHQ,[-0.0909],[4],"[[im, addict, micheal, kor, saw, case, disappoint, thought, case, go, leather, wasnt, second, thing, think, mk, emblem, case, guess]]","[[im addict micheal kor saw case disappoint thought case go leather wasnt second thing think mk emblem case guess, -0.0909, 4]]"
B010TTN850,[0.2732],[1],"[[crack, fall, carpet, area, phone, screen, crack]]","[[crack fall carpet area phone screen crack, 0.2732, 1]]"
B010XDJZ4U,[0.0],[5],[[post]],"[[post, 0.0, 5]]"
B0113DMF6Y,[0.8856],[5],"[[keep, pone, slim, great, color, simple, feel, case, doesnt, feel, slippery, protects, side, button, expose, screen, issue, bad, get, screen, protector, packaging]]","[[keep pone slim great color simple feel case doesnt feel slippery protects side button expose screen issue bad get screen protector packaging, 0.8856, 5]]"
B011A8ZZWI,[0.0],[2],"[[decent, product, stay, curve, edge, case, buy, supcase, fullbody, rugged, holster, case, builtin, screen, protector, samsung, galaxy, edge, hold, edge, reason, find]]","[[decent product stay curve edge case buy supcase fullbody rugged holster case builtin screen protector samsung galaxy edge hold edge reason find, 0.0, 2]]"
B011GWZ8TS,[0.4404],[3],"[[th, cover, month, company, par, good, thing, r, cheap, buy]]","[[th cover month company par good thing r cheap buy, 0.4404, 3]]"
B011LJA1TS,"[0.9682, 0.0]","[5, 3]","[[think, temper, glass, go, thicker, order, replace, crack, protect, screen, thinner], [screen, protector, screen, silky, smooth, feel, install, clear, clarity, dont, notice, difference, screen, feel, look, samebr, apply, screen, clean, dust, debris, phone, use, alcohol, pad, dust, absorber, take, phone, bathroom, turn, shower, settle, dust, process, take, minute, completebr, br, good, investment, cell, phone, save, cost, repair, crack, scratch, screen, recieved, discount, honest, opinion]]","[[think temper glass go thicker order replace crack protect screen thinner, 0.9682, 5], [screen protector screen silky smooth feel install clear clarity dont notice difference screen feel look samebr apply screen clean dust debris phone use alcohol pad dust absorber take phone bathroom turn shower settle dust process take minute completebr br good investment cell phone save cost repair crack scratch screen recieved discount honest opinion, 0.0, 3]]"
B011QCWYW2,[0.0156],[3],"[[case, decent, nice, snug, fit, phone, kick, stand, phone, use]]","[[case decent nice snug fit phone kick stand phone use, 0.0156, 3]]"
B012ELUL06,[0.836],[5],"[[perfect, love]]","[[perfect love, 0.836, 5]]"
B012V0LWB2,[0.5574],[4],"[[armband, soft, worn, galaxy, note, fit, case, phone, screen, plastic, cover, recomend, use, holder, key, slip, slot, otherwise, key, fall, walk, run, open, bottom, phone, place, headphone, jack, cover, put, head, set, stretch, material, hole, use, bluetooth, headphone, issue, job, hold, samsung, galaxy, note, run]]","[[armband soft worn galaxy note fit case phone screen plastic cover recomend use holder key slip slot otherwise key fall walk run open bottom phone place headphone jack cover put head set stretch material hole use bluetooth headphone issue job hold samsung galaxy note run, 0.5574, 4]]"
